spectrum=kolmogorov  sigma(M)=A (M/M_L)^0.222   M_L=1.01e+60 m_P
A       dc    f_unfrag         <1e14 kg (pre-BBN)    1e14-3e20 (BBN-recomb)  3e20-6e22 (recomb-today)     >6e22 (permanent PBH)           >2e30 (>1 Msun)          2e32-2e35 (IMBH)
0.20    0.45   5.64e-01                  1.69e-03                  4.88e-03                  3.56e-03                  4.26e-01                  4.00e-01                  2.54e-02
0.20    0.70   9.95e-01                  2.16e-08                  4.07e-07                  6.76e-07                  5.37e-03                  5.36e-03                  5.07e-05
0.20    1.00   1.00e+00                  1.37e-16                  4.74e-14                  2.54e-13                  3.55e-06                  3.55e-06                  1.10e-09
0.30    0.30   1.47e-09                  9.35e-01                  5.12e-02                  6.23e-03                  6.24e-03                  4.06e-04                  1.30e-04
0.30    0.45   4.23e-03                  2.05e-01                  1.73e-01                  7.26e-02                  5.45e-01                  3.00e-01                  7.68e-02
0.30    0.70   6.47e-01                  9.01e-04                  2.92e-03                  2.24e-03                  3.47e-01                  3.29e-01                  1.84e-02
0.30    1.00   9.89e-01                  1.22e-07                  1.75e-06                  2.58e-06                  1.07e-02                  1.07e-02                  1.35e-04
0.50    0.30   9.12e-23                  9.97e-01                  4.62e-06                  2.62e-08                  4.46e-09                  4.63e-12                  6.22e-13   <-- window
0.50    0.45   5.56e-12                  9.83e-01                  1.37e-02                  9.94e-04                  6.59e-04                  1.94e-05                  5.46e-06
0.50    0.70   7.50e-04                  3.28e-01                  2.10e-01                  7.70e-02                  3.84e-01                  1.67e-01                  4.94e-02
0.50    1.00   2.82e-01                  1.01e-02                  2.04e-02                  1.29e-02                  6.74e-01                  5.98e-01                  5.85e-02
0.70    0.30   1.23e-31                  9.94e-01                  1.56e-09                  9.44e-13                  6.55e-14                  5.20e-18                  3.72e-19
0.70    0.45   7.26e-21                  9.97e-01                  2.25e-05                  2.04e-07                  4.28e-08                  7.85e-11                  1.21e-11   <-- window
0.70    0.70   1.47e-09                  9.35e-01                  5.12e-02                  6.23e-03                  6.24e-03                  4.06e-04                  1.30e-04
0.70    1.00   1.29e-03                  2.88e-01                  2.01e-01                  7.70e-02                  4.32e-01                  2.02e-01                  5.76e-02
1.00    0.30   1.55e-39                  9.91e-01                  7.10e-13                  5.61e-17                  1.86e-18                  1.63e-23                  6.78e-25
1.00    0.45   2.03e-30                  9.94e-01                  4.92e-09                  4.05e-12                  3.16e-13                  3.54e-17                  2.76e-18
1.00    0.70   1.59e-18                  9.98e-01                  1.45e-04                  2.32e-06                  6.38e-07                  2.39e-09                  4.34e-10   <-- window
1.00    1.00   1.47e-09                  9.35e-01                  5.12e-02                  6.23e-03                  6.24e-03                  4.06e-04                  1.30e-04
configurations in the window: [(0.5, 0.3), (0.7, 0.45), (1.0, 0.7)]
